GRIDCODE,SHAPE.AREA,SHAPE.LEN
2,625.04500056,100.003600129598
2,624.99500012,99.9996000160001
2,25625.87001654,1300.02020078972
2,1250.01000064,150.000000163197
2,3125.03250112,300.003000692786
2,7500.0875036,550.005201191844
2,10000.10750512,500.00260085705
2,25625.02500054,1649.99720015453
2,3125.0249987,250.000400041867
2,624.99750004,99.9998000072
2,1249.99250016,149.9996000124
2,624.99500008,99.9996000080001
2,117499.49750474,4949.98940030584
2,625,100.0000000016
2,6250.05750032,450.002000019067
2,80000.32750358,3200.00580011947
2,2500.0500002,250.00220001
2,41250.46500208,2150.01220010717
2,625.01,100.0008000064
2,624.99500008,99.9996000080001
2,14999.8700022,949.996000114241
2,1249.9950002,149.9996000216
2,6874.97250074,449.999200059867
2,2499.9875001,249.9988000364
2,9374.95750018,649.998800030267
2,29374.84250374,1199.99660014427
2,1249.9925,149.999400004
2,14374.93500026,949.998400040266
2,624.995,99.9996000064
2,1250,150.0000000072
2,1249.995,149.9996000016
2,624.995,99.9996000016
2,625.0025,100.000200004
2,3125.00250016,300.000200015467
2,1250.00500032,150.0006000228
2,3125.08750038,300.003800012
2,190624.47750554,6599.99160017381
2,4999.96500032,399.998600010533
2,3749.98500028,299.9996000102
2,625.01,100.0008000016
2,625.01,100.0008000064
2,2499.995,249.9996000088
2,625.00000002,100.0000000048
2,625.00250002,100.0002000024
2,6874.9700001,499.9992000192
2,11874.93500024,499.998400013827
2,625.00000002,100.0000000048
2,20624.92750032,1049.9962000222
2,624.9975,99.999800004
2,1249.99750004,150.000000006
2,625.00249994,100.0002000008
2,10000.01250036,650.000600033867
2,1875.00000028,200.00000002
2,625.0025,100.0002000024
2,625.00000002,100.0000000048
2,51876.23250516,2000.03260004887
2,6875.0049998,499.9996000096
2,1249.99750006,149.9998000048
2,625.00000004,100.0000000032
2,1249.99250006,149.999600006
2,624.99500004,99.9996000048
2,7499.97250032,599.998600021867
2,624.99750004,99.9998000072
2,624.99500004,99.9996000032
2,7499.95500056,549.9988000168
2,13124.93250094,899.9978000358
2,624.99750006,99.9998000056
2,32499.81500268,1299.996800052
2,624.99750002,99.9998000024
2,78750.14250436,3900.00480015812
2,22500.06000118,1450.00120006107
2,2500.00750016,250.0008000092
2,63750.12000356,3150.00440011306
2,1875.00750012,200.0004000108
2,2500.01000012,250.000400008
2,624.995,99.9996000064
2,60625.06500206,2399.99940011133
2,5624.87999854,399.995600003467
2,624.995,99.9996000016
2,7500.00499988,550.000600006533
2,2500.00249996,250.000200003467
2,1250,150.000200002
2,1874.99500008,199.999600003733
2,1249.99000004,149.9996000024
2,168749.26250926,7099.98220025464
2,624.99750002,99.9998000024
2,56249.76750246,2549.99460008807
2,624.99250008,99.9994000056
2,625,100.0000000032
2,21250.0225012,1100.00180004237
2,624.99750002,99.9998000024
2,625.00000004,100.0000000032
2,625.00000004,100.0000000032
2,625.00500004,100.0004000032
2,3125.01250016,300.0004000076
2,625.00250004,100.0002000056
2,1249.99500008,149.9996000048
2,129999.76000114,4599.99700006349
2,2733729.91237916,93399.6350065071
2,2499.98250006,249.999600005467
2,13750.14749978,800.001800007269
2,624.99750002,99.9998000024
2,12500.05500024,850.000800015467
2,9374.93750074,599.997800022667
2,1250.00000004,150.0000000024
2,624.99750002,99.9998000024
2,625.00500004,100.0004000032
2,1250.00000008,150.0002000068
2,1249.9975,149.9996000028
2,624.9975,99.9998000024
2,9374.98750028,549.999200013467
2,624.99500004,99.9996000032
2,1250.00500012,150.0002000084
2,1250.01,150.0008000008
2,1250.00000004,149.9998000036
2,625.00250002,100.0002000024
2,13125.01500048,850.0008000278
2,1249.99749998,150.000200004
2,1250.005,150.0000000024
2,625.00000002,100.0000000048
2,14375.02250046,1000.0012000324
2,2500.00500012,250.0002000068
2,625.00250004,100.0002000056
2,625.00250002,100.0002000024
2,3124.99500012,250.000200004667
2,4999.99250004,350.000000008667
2,625.00000004,100.0000000032
2,624.99750002,99.9998000024
2,10624.97750028,750.000800016657
2,2499.9975,249.999400002667
2,1249.99250004,149.9996000028
2,6249.97750018,449.998800008667
2,1874.99250004,199.999400004
2,625.00000008,100.000000008
2,2500.0000004,249.9994000186
2,1250.01000024,150.0004000136
2,624.99750008,99.9998000120001
2,503748.57003818,26399.9610025713
2,625.005,100.0004
2,625.005,100.0004
2,625.005,100.0004
2,4375.03749998,400.0020000012
2,5000.0425,350.001200000667
2,1250.005,150.0004000072
2,625.005,100.0004
2,625.00500004,100.0004000032
2,5625.00500018,350.000200011067
2,625.00250002,100.0002000024
2,625.00250002,100.0002000024
2,55625.04000228,1800.00220005203
2,625.00250002,100.0002000024
2,3125.03250052,300.0014000256
2,625.00750014,100.0006000104
2,26875.22500386,1700.0068001472
2,10625.07750156,650.0028000532
2,625.00750014,100.0006000104
2,3125.01750038,300.0010000256
2,1249.99000016,149.9996000096
2,624.99500008,99.999600008
2,2499.99749986,249.999800027467
2,1875,200.0000000128
2,50000.33250306,2350.00840005903
2,18749.95500022,1049.9990000191
2,1249.99750002,150.0000000028
2,3749.9925,299.999800006133
2,625.00250006,100.0002000056
2,625.00000008,100.000000008
2,4999.98250052,399.999200038
2,16874.92250204,899.997200110067
2,625.00750008,100.0006000056
2,1875.00500008,200.000400003733
2,4374.9825,349.999600006
2,9999.9875002,650.000200013133
2,624.9975,99.999800004
2,625.00250002,100.0002000024
2,625,100.0000000016
2,624.99000006,99.9992000048
2,625.00000004,100.0000000032
2,4999.98749998,400.000200007467
2,1250.005,150.0000000024
2,4375.01500004,350.0006000074
