VOL_MEAN,PET_MEAN,PET_KLASSE,LEITBAHN,BEWERTUNG,SHAPE.AREA,SHAPE.LEN
1555.5,32.11,geringe Qualität,0,hoch,244.91720064,107.990388030281
1428.75,32.39,geringe Qualität,0,hoch,144.93712332,59.2624247722368
1990.25,31.89,geringe Qualität,0,hoch,48.68912928,27.4703483516549
1966.7,29.28,geringe Qualität,0,hoch,121.57670022,154.94372816543
1055.21,34.31,geringe Qualität,0,hoch,1791.57712192,210.049239278576
1225.91,30.47,geringe Qualität,0,hoch,1260.07793122,142.093181575111
1704.98,32.88,geringe Qualität,0,sehr hoch,316.00669428,71.3547892189644
1914.5,21.28,hohe Qualität,0,sehr hoch,88.2939448,38.3236520072027
1903.86,26.69,mässige Qualität,0,sehr hoch,178.87283776,144.59934469265
1797.01,29.21,geringe Qualität,0,sehr hoch,1003.53016678,142.947481872799
1812.25,36.67,sehr geringe Qualität,0,sehr hoch,36.60158802,22.1438893127021
1868.5,36.91,sehr geringe Qualität,0,sehr hoch,79.94237794,45.2150293802785
2126.92,35.07,sehr geringe Qualität,1,sehr hoch,1106.38417,136.519561619415
2136.93,30.05,geringe Qualität,0,sehr hoch,5154.35705054,342.799532452421
2129.98,36.83,sehr geringe Qualität,1,sehr hoch,312.05500302,91.6924122465437
1984.52,36.52,sehr geringe Qualität,0,sehr hoch,303.95827586,71.1861668217871
2134.15,34.54,geringe Qualität,0,sehr hoch,291.22314962,72.9864304969169
2172.39,31.6,geringe Qualität,1,sehr hoch,490.69670004,101.106577596962
2078.68,31.28,geringe Qualität,1,sehr hoch,4581.79267464,433.860356244774
1271.27,31.45,geringe Qualität,0,sehr hoch,866.49956006,126.092316925209
1311.86,35.86,sehr geringe Qualität,0,hoch,467.28891662,254.655714672191
1502.23,32.95,geringe Qualität,0,sehr hoch,7058.75134778,683.296069561556
873.38,32.01,geringe Qualität,0,sehr hoch,485.23425712,165.60090058583
921.66,31.36,geringe Qualität,0,sehr hoch,19323.34178754,696.111716410819
948.96,26.04,mässige Qualität,0,sehr hoch,443.70151388,589.746800903193
890.26,35.37,sehr geringe Qualität,0,sehr hoch,18155.35982386,1041.2426954846
795.51,30.32,geringe Qualität,1,sehr hoch,1068.62532914,145.830206775775
953.75,21.26,hohe Qualität,0,sehr hoch,314.7841707,76.841534392341
687.17,38.84,sehr geringe Qualität,0,hoch,3017.75187876,267.620287939204
1045.23,26.87,mässige Qualität,0,sehr hoch,626.31368418,260.040616898202
994.75,37.39,sehr geringe Qualität,0,sehr hoch,61.40706382,35.9419100744907
1159.3,35.92,sehr geringe Qualität,0,sehr hoch,370.21723522,90.0088691824115
1026.28,32.46,geringe Qualität,0,sehr hoch,414.28036578,132.514392089244
867.25,37.26,sehr geringe Qualität,0,hoch,9.1192651,13.3770348228734
