ROTATION,VOL_GR_1,E,N
25.25745,3,2681709.7,1245319.602
28.52093,4,2681922.125,1245049.483
27.8194,2,2681651.441,1252344.205
64.03183,2,2681798.7,1252165.495
11.09799,1,2681773.154,1253049.981
16.73779,1,2681874.087,1253077.686
40.07627,3,2681975.433,1243070.287
60.76264,3,2682075.444,1244360.748
4.91552,3,2682038.091,1246272.494
115.09801,2,2682057.129,1252391.793
104.23986,1,2682137.002,1252784.281
11.89319,1,2682323.534,1253203.18
18.89718,1,2682375.776,1253084.978
126.02736,1,2682307.486,1253471.301
163.91886,1,2682360.693,1253692.502
171.8802,2,2682612.945,1253902.687
61.34243,2,2683068.492,1243017.354
174.99575,1,2683208.25,1252617.297
92.9573,2,2682998.453,1253427.048
287.44545,3,2683876.754,1249840.285
104.87434,1,2684112.285,1253850.543
239.58664,2,2684344.236,1249113.831
231.86706,2,2684500.734,1249152.453
275.69751,2,2684248.503,1249388.284
250.69398,2,2684260.766,1249240.651
302.10647,2,2684482.521,1249432.287
314.5322,2,2684424.718,1250087.199
222.45815,2,2684793.196,1248826.919
226.01182,2,2684594.793,1249000.904
219.29155,2,2684988.128,1248822.399
324.26684,1,2684845.701,1249241.662
12.50155,2,2684894.208,1249545.608
41.43707,1,2685321.059,1249178.407
262.29421,2,2685534.69,1247767.561
25.52037,3,2685550.862,1250747.871
25.7573,3,2685626.08,1250583.78
222.77848,2,2685612.552,1252521.232
317.63776,2,2686401.113,1247828.496
333.98998,2,2686379.005,1248242.796
39.22994,2,2686133.752,1248724.133
22.82751,2,2686240.141,1248972.674
33.03239,3,2686345.156,1249366.349
33.02417,3,2686280.449,1249644.545
28.09806,3,2686276.648,1250110.466
18.44295,3,2686312.34,1250371.595
259.92393,4,2686601.911,1245418.192
227.56449,3,2686475.63,1246599.255
324.08638,2,2686603.831,1247987.525
345.03686,2,2686515.039,1248643.426
3.38348,3,2686610.969,1248851.059
30.38684,3,2686460.668,1249839.132
15.16469,2,2686929.374,1248665.558
340.44004,2,2687192.901,1247739.125
22.67773,2,2687316.448,1248041.818
333.91665,3,2687145.813,1250995.818
55.21213,1,2687613.857,1247283.835
269.81983,3,2687746.318,1245255.428
286.52787,2,2687786.048,1245897.661
350.2977,2,2688214.158,1246321.791
104.36299,2,2688198.785,1246832.885
159.14455,1,2688627.798,1245879.623
3.29958,1,2688517.086,1246044.886
356.77762,2,2688432.719,1246538.992
351.03524,1,2689241.348,1245714.183
13.9015,2,2688980.862,1246244.897
20.81462,2,2677226.321,1247916.467
43.35916,2,2677385.274,1247967.473
38.44937,3,2678076.375,1248552.974
18.37081,3,2678245.043,1246980.254
175.76477,2,2678416.631,1251163.663
204.39037,2,2678378.704,1251494.129
346.31055,2,2678780.86,1246102.001
36.85753,4,2678898.538,1247255.402
357.98337,1,2678890.312,1252490.704
29.82508,2,2679172.007,1245734.761
4.59134,2,2679122.562,1252550
191.70751,1,2679419.221,1252037.391
34.74714,1,2679505.643,1252397.717
12.40271,2,2679463.552,1253160.457
31.4598,2,2679556.791,1253457.981
53.09616,2,2679937.896,1244805.611
47.34891,3,2680009.872,1246162.534
197.14132,2,2679786.644,1251358.345
163.85571,1,2679887.109,1251642.111
17.94065,2,2679864.43,1252665.189
53.56232,2,2679838.819,1253999.915
59.91741,3,2680060.466,1245491.542
199.92556,2,2680131.554,1249852.946
114.46013,2,2680200.749,1253593.348
152.8303,2,2680177.816,1254063.282
114.09736,3,2680554.221,1242762.101
59.61733,2,2680490.794,1243652.797
54.43372,4,2680385.019,1245580.001
161.74045,2,2680572.43,1254010.026
60.86651,3,2680751.263,1244667.132
83.01623,3,2680924.698,1244861.699
282.80094,1,2680957.541,1250805.48
166.77354,2,2680881.511,1253807.397
89.13955,3,2681005.282,1242583.198
86.07352,2,2681182.998,1243493.168
80.84378,3,2681254.658,1245150.178
198.97042,1,2681196.414,1250751.147
142.53539,2,2681027.153,1253349.999
344.24276,4,2681627.572,1242861.023
81.14509,2,2681347.073,1243472.753
72.39705,2,2681489.508,1245370.209
19.00295,1,2681334.567,1251048.876
52.45703,1,2681560.156,1251021.76
15.90046,2,2681531.506,1251810.532
34.93595,4,2681777.695,1244864.883
36.10508,4,2681837.941,1244770.467
79.5367,1,2681694.655,1250933.752
67.96733,1,2681886.264,1250947.135
171.88964,1,2681692.049,1253295.368
203.10938,1,2681699.694,1253445.438
84.45155,3,2682204.731,1242599.253
