ROTATION,VOL_GR_1,E,N
19.96749,2,2687435.825,1247587.606
78.43478,1,2687666.06,1247289.643
325.09643,2,2688195.713,1246460.867
19.76103,2,2688412.626,1246658.321
32.82706,2,2688783.157,1246521.232
13.339,2,2676717.126,1248215.619
38.25472,3,2677352.116,1248809.724
3.03499,2,2678053.863,1246796.967
25.35191,3,2678038.23,1248838.961
74.1007,2,2677979.894,1250675.039
192.65695,3,2678066.482,1252035.185
341.64396,2,2678392.744,1246260.889
22.55654,3,2678329.033,1247106.258
48.8068,3,2678373.916,1247802.788
66.75722,3,2678383.099,1247634.786
39.66784,3,2678354.953,1248360.901
45.49,3,2678492.597,1248165.507
59.85474,2,2678465.775,1250707.833
247.48672,2,2678690.712,1251624.037
132.86284,1,2678493.64,1252458.509
2.93845,2,2678938.374,1245794.346
229.29871,1,2679016.512,1252005.791
21.4182,2,2678939.998,1252627.353
21.29162,2,2679112.633,1245933.988
37.46376,3,2679148.36,1246999.614
61.96446,4,2679213.811,1248103.6
256.71235,1,2679223.904,1252286.787
21.10363,2,2679231.835,1252848.607
52.11825,3,2679683.727,1245876.949
172.01297,1,2679579.586,1251773.191
52.00558,2,2679640.214,1253526.323
50.72231,4,2679797.131,1246323.085
40.44437,4,2679943.586,1246374.14
205.5754,2,2679819.342,1250514.156
59.21656,1,2679877.714,1252187.233
74.24379,1,2680195.382,1243925.133
224.77158,1,2680239.209,1251261.95
24.85267,2,2680337.549,1252117.942
143.24995,2,2680338.475,1253946.209
198.13997,2,2680289.803,1254220.149
88.36238,1,2680530.44,1243491.649
61.88124,1,2680440.118,1251732.135
79.98645,3,2680869.733,1242298.992
54.52609,3,2680903.707,1244647.172
228.15293,2,2680880.97,1250543.698
171.67982,2,2680685.15,1253875.892
83.60899,4,2681222.415,1242421.973
64.29007,4,2681045.265,1243987.326
61.74772,4,2681074.943,1243913.322
75.41429,4,2681231.612,1244364.692
140.48621,1,2681103.642,1253250.975
73.25004,3,2681492.811,1243940.265
71.92138,1,2681385.495,1250874.064
27.35107,2,2681576.237,1251676.21
30.98448,2,2681386.055,1252538.728
116.25147,3,2681927.86,1242392.487
67.51235,3,2681890.099,1242713.611
50.32803,3,2681741.958,1244387.29
41.67885,4,2681687.799,1244871.592
160.90902,2,2681762.806,1250640.817
169.44984,2,2681808.202,1250487.219
38.55843,2,2681790.51,1251413.115
80.38472,3,2682174.095,1244891.168
156.24759,2,2682216.852,1250470.293
57.32319,2,2682006.871,1250967.642
181.12884,2,2682114.844,1253879.347
63.88707,2,2682338.46,1250943.831
64.09256,2,2682403.362,1251000.838
77.74597,1,2682534.713,1253003.459
31.6075,1,2682411.02,1253298.427
31.16759,2,2682626.856,1242809.802
142.29814,2,2682678.888,1253640.487
347.46433,3,2684030.709,1250240.327
346.39798,1,2684955.94,1249312.32
159.16239,1,2685273.749,1248811.568
106.2531,1,2685434.308,1248912.974
33.86863,3,2685305.023,1250409.418
268.22199,1,2685361.503,1252549.798
230.35373,3,2685723.794,1246826.682
219.24615,3,2685775.268,1246708.103
244.60079,3,2685507.534,1247003.191
243.12332,2,2685716.45,1247262.435
40.8625,3,2685607.524,1250030.671
250.73689,2,2685962.58,1245769.733
230.15416,3,2685901.155,1246055.688
271.44676,2,2685820.466,1247853.66
340.47704,2,2685919.979,1248413.616
47.17454,2,2686018.209,1249048.297
48.32079,2,2685816.624,1249368.171
40.26632,3,2685863.338,1249757.439
295.05942,4,2686114.044,1245476.678
265.66431,4,2686231.393,1246394.984
324.90266,2,2686179.239,1248076.226
10.53473,3,2686230.188,1250463.558
9.19904,3,2686198.112,1250542.464
213.09023,2,2686717.488,1246584.814
262.32759,3,2686948.257,1246296.879
334.19228,2,2686772.581,1247970.648
20.65431,3,2686884.93,1249090.251
17.94446,2,2686989.354,1248883.609
260.64949,2,2687230.871,1245425.748
236.51063,2,2687180.995,1245924.479
171.92233,2,2687357.663,1246691.671
12.1397,2,2687370.039,1247709.455
18.82675,3,2687091.993,1248928.727
354.83428,3,2687301.798,1250682.979
167.53351,1,2687387.07,1247060.398
297.91748,2,2687800.365,1246059.85
346.6804,2,2688286.409,1246219.211
350.90918,2,2688412.642,1246433.295
359.75197,2,2688764.203,1246354.042
38.79471,2,2688958.645,1246855.974
183.91224,1,2689063.834,1245753.494
