PET_KLASSE,NACHTBELAS,PET_MITTEL,T2M_MITTEL,SHAPE.AREA,SHAPE.LEN
maessige Belastung,maessig,32.99,18.44,220.91505032,168.258132256106
maessige Belastung,maessig,32.99,18.22,88.6620238,82.3226551205338
maessige Belastung,maessig,33.17,18.55,589.80272616,178.701072745001
maessige Belastung,maessig,31.32,18.35,2554.96454378,262.232110386132
maessige Belastung,maessig,33.22,18.34,27.67681718,25.8780131470544
maessige Belastung,maessig,33.98,18.34,265.0871549,111.293883965956
maessige Belastung,maessig,34.57,18.48,791.03466536,270.543253140454
starke Belastung,maessig,36.52,18.74,112.81440814,153.126427681737
starke Belastung,maessig,35.66,18.39,163.81900812,185.273362780394
maessige Belastung,schwach,33.36,17.97,4328.21377268,468.998911703204
starke Belastung,maessig,35.19,18.28,8006.78444384,414.961516251279
sehr starke Belastung,maessig,37.31,18.98,2022.24754394,674.398798149072
maessige Belastung,maessig,34.3,18.66,95.31755036,72.4157385850505
maessige Belastung,schwach,31.52,17.96,1505.20970614,266.637529450297
maessige Belastung,maessig,32.8,18.99,3357.58609954,272.110312314792
schwache Belastung,schwach,27.73,17.81,66.227537,120.465762175115
schwache Belastung,schwach,26.02,17.91,89.58862468,129.776548187365
schwache Belastung,schwach,25.66,17.83,191.16731046,139.548915216108
maessige Belastung,maessig,31.43,18.77,1825.65515488,318.855964927967
starke Belastung,schwach,35.14,17.91,5700.94665276,346.540260607548
schwache Belastung,maessig,27.93,18.23,700.04724812,167.770136088507
maessige Belastung,schwach,33.7,17.72,28.0486796,28.4228854784218
maessige Belastung,schwach,34.57,17.8,71.45054928,55.136694508957
maessige Belastung,nicht vorhanden,29.46,16.85,712.26160704,398.238261369893
starke Belastung,schwach,36.16,17.82,1711.79373792,581.407705644659
maessige Belastung,maessig,32.47,18.4,162.03805652,111.134749035448
maessige Belastung,maessig,33.93,18.45,123.54008242,65.8279011953552
maessige Belastung,maessig,32.72,18.48,81.73743228,70.619411575907
maessige Belastung,maessig,33.18,18.66,223.82367274,162.862020084789
maessige Belastung,maessig,31.87,18.71,74.88285192,45.0539548839155
maessige Belastung,maessig,34.26,18.28,3808.49781678,419.114238530848
maessige Belastung,maessig,31.65,18.66,311.68053096,73.7259429679018
schwache Belastung,schwach,28.09,17.8,144.0388516,133.005420349179
starke Belastung,maessig,35.02,18.54,43.6985145,28.9088579532349
maessige Belastung,schwach,34.97,17.93,28.27569672,23.2015260549761
starke Belastung,maessig,36.18,18.52,215.59148726,223.754923117493
maessige Belastung,maessig,34.14,18.74,44.6353691,30.8003241399962
