ID,SHAPE.AREA,SHAPE.LEN
99423,81.529121,61.2895478968878
113873,2258.38453374,449.645774699073
113865,463.83105402,117.333432753485
113860,1242.45050342,216.65818716969
120344,988.07672664,172.689133621742
114300,942.76584272,156.418220866713
121048,102.35143848,125.705092493193
120331,519.78604912,129.363558479213
117713,440.4969719,112.061094560422
104489,4742.12675976,400.723933335983
6107,124.93211396,59.5906439046701
6097,99.9114946,55.8265883399452
5658,9726.0649354,1229.47481787963
60751,38.8089868,31.6898518354535
60762,1632.46584646,188.983195263943
60830,8509.41002012,470.066412837214
65932,377.088442,93.9125788329425
65926,877.6452951,215.507631269003
65862,1786.99769628,327.505634681832
65885,1945.7915263,340.312858137213
65891,1339.5750094,310.169552719887
65884,2502.53770844,442.166082602216
99310,1775.37186388,295.570014547911
99292,230.655189,65.5376519319386
99211,634.4089476,117.656534498959
115602,1869.49376528,239.18778522859
93611,2564.3415802,344.621336891546
114403,1482.73561858,184.592074987839
120366,2401.12013108,309.44055420828
120356,625.67484238,121.75042196984
114373,127.751982,50.3086222719236
114376,393.73107692,89.5847644820811
114332,474.53231846,91.7858483101978
114345,528.94954266,126.148020450741
114337,1078.35920828,244.561809249838
114303,214.335993,62.2028262639906
114278,1184.53327604,241.116532900711
109586,1023.59693644,208.439286533563
110698,21.6168373,143.65308514851
104494,196.34186494,59.0748689444097
2302,293.73426814,75.7270827561586
2303,479.96471326,108.298774787858
6093,198.0211017,57.3305874362639
7117,1423.35256092,246.531373048103
5843,1435.82571272,268.460686783173
5842,294.0450374,74.5314763114906
65948,1733.71579746,311.825056924594
65957,3790.15825002,491.488809635769
65950,120.2234183,45.2383877816833
65942,1469.21577306,289.076339536305
65938,4188.67310592,703.270051946923
67624,470.4145576,128.623898044705
67623,1389.9393333,294.442203797619
65906,1026.9140289,236.477093446449
65878,129.1553873,51.7722709946082
65865,1617.1463683,247.131852282277
99268,4245.4324872,683.115699114782
99214,737.9071364,119.908436744494
99203,19798.06022608,1224.34739823971
106580,25.42777456,26.4353107436277
106565,3239.8917946,468.155357406148
107951,226.98992272,79.9141199774298
107954,112.3362499,46.678512606009
99201,2146.03206548,435.888195988805
120378,828.39496372,149.274826105236
114411,4447.56086172,392.574883607736
114404,764.3427897,188.008054522803
114356,238.66018292,62.1499916696029
114364,168.07912508,52.9414541411245
116978,561.0337565,96.5550644728296
109436,215.1609616,62.2672667518962
109437,892.56260404,156.241135059263
109434,234.6908008,64.4464993324361
94278,2160.82354434,294.152101127921
110673,9.80233718,30.1552887231145
4629,3402.9811805,498.926689617546
4631,237.44946894,66.843612736484
7136,739.78368514,141.987221509037
7122,242.0031574,65.8699412130824
7114,723.67829166,162.394873145281
60750,677.51871172,143.904075846442
60805,69.93749504,67.2595295490987
5864,44.68485218,94.0584168081258
60810,33.37138378,37.7236620316081
19831,55.2863416,43.0147875443534
66015,508.30460366,133.074896735535
66004,1693.04271658,299.023934587674
65992,2346.6323924,276.03592827159
65991,192.4837536,55.8060117270683
65962,323.6870607,77.0739841155592
65953,308.6595248,73.641739088329
69008,2527.3911294,479.269249493833
99276,10.448071,13.1050458978228
99238,428.13108026,163.896022119126
99256,193.51242902,110.849463348202
99236,9020.13164506,538.146321320126
99232,39.82536916,26.6476824206085
99218,214.98209362,61.5332437421795
121399,534.43028136,109.454372041083
120610,867.3070357,132.139838713705
100592,155.38639926,70.1174005522919
119346,234.2644942,66.2075401729882
119328,1100.68642596,275.910827093808
110714,79.1145562,59.1105646443596
112058,26.01864302,19.9757425912476
3992,1328.53900792,212.085496027393
2496,37.40774792,33.791488325777
2489,6286.93595236,439.191173689461
5836,176.2256698,57.37640869136
2665,3037.2966106,240.030593375698
66875,14.7532525,15.7747807429308
66871,1072.25309814,145.461174944803
66011,343.94876676,84.4792485148554
64823,359.62043736,163.883716267442
65721,791.9604392,122.636556355847
65720,278.3279662,73.7102855315664
65728,519.3554885,132.432003412425
65716,2060.10504416,268.593232392807
65868,2481.00840038,396.338084466871
99303,196.5299932,117.696944224201
99282,1825.7590921,261.303616179278
95776,5467.48173034,717.863149390469
114726,241.37088836,67.0447879732265
120090,8.480457,11.7574206481827
94053,7521.21650402,656.600303786557
94051,3185.57647038,458.40586667392
119356,966.53907956,177.807099910386
118499,153.44767966,164.402644425662
115850,1138.39254886,200.068271513798
115856,91.7373146,111.328872872548
102073,19.2590655,17.5785864602123
7144,725.25654226,119.688781297393
60729,589.18047872,100.187784206043
60728,204.5824653,83.7812926909281
60799,838.71122324,207.357911454216
60781,2824.9417343,434.833476423336
96031,5545.86036604,957.908356628429
68718,562.2331031,139.895093068689
119019,94.64444414,59.0189050677579
119021,2004.23036054,363.67140899502
98225,92.02369806,55.3589926507619
97207,4105.11218044,636.878489753671
118195,1530.7054877,336.107372009412
97197,2806.3956214,338.555665413741
65726,181.5419771,57.6458777920283
97193,138.3007758,58.355276524904
97191,23.82000312,42.8387865829782
108603,207.9040624,61.6207922865398
106499,18.21450152,22.229188557422
99336,662.4250766,105.848688070705
112220,77.0990499,153.258647533306
112224,67.8811693,67.6265764081479
116210,36.5386755,36.4855779573569
93296,2057.6557032,292.659865205458
2940,2850.38934618,261.657740318529
3982,109.3149006,128.279278758114
3979,48.62436412,58.8480982687097
5948,521.38239832,128.988005507443
5946,1322.69695874,189.933834258129
5934,13684.26108506,931.959826298698
5931,381.68331112,99.305386335398
7193,1340.97174074,166.609674485872
116160,552.15705416,122.507216410211
115443,376.69069738,92.121103056513
94225,396.16465206,114.251389478991
117689,812.34946876,137.598195465484
118815,34.4542043,28.0194106385511
109414,317.15373596,116.167131999034
116171,614.04049932,209.755028028605
