ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,1929.081320505,247.70739326845
1,B,,261,1,Zürich,2019,Ueberbaut,1292.682302505,192.923709242914
1,B,,261,1,Zürich,2019,Ueberbaut,2238.576200745,216.705689284289
1,B,,261,1,Zürich,2019,Ueberbaut,2121.384330465,196.579294708292
1,B,,261,1,Zürich,2019,Ueberbaut,2450.78741737,255.752439773313
1,B,,261,1,Zürich,2019,Ueberbaut,1293.255766895,152.105710420314
1,B,,261,1,Zürich,2019,Ueberbaut,1832.90066904,170.347490115549
1,B,,261,1,Zürich,2019,Ueberbaut,2584.233946655,214.896519660164
1,B,,261,1,Zürich,2019,Ueberbaut,1914.54989422,281.355616194842
1,B,,261,1,Zürich,2019,Ueberbaut,1002.19419633,134.05213190696
1,B,,261,1,Zürich,2019,Ueberbaut,1743.2186928,236.573319736718
1,B,,261,1,Zürich,2019,Ueberbaut,1739.8985185,258.587113408953
1,B,,261,1,Zürich,2019,Ueberbaut,3531.130027895,345.290958007911
1,B,,261,1,Zürich,2019,Ueberbaut,5034.344820115,285.306197487079
1,TR,,261,11,Zürich,2019,Technischer Rest,900.5340478,129.919572485062
1,B,,261,1,Zürich,2019,Ueberbaut,278.237692505,76.2103105972861
1,B,,261,1,Zürich,2019,Ueberbaut,281833.75395886,5018.01783353626
1,B,,261,1,Zürich,2019,Ueberbaut,13647.25203606,504.9278166835
1,B,,261,1,Zürich,2019,Ueberbaut,8936.051395875,379.394669405053
1,S,,261,2,Zürich,2019,Sofort baureif,3379.166278085,233.087687072311
1,S,,261,2,Zürich,2019,Sofort baureif,11257.54548508,468.215452569206
1,TR,,261,11,Zürich,2019,Technischer Rest,1229.69242585,141.694118198259
1,B,,261,1,Zürich,2019,Ueberbaut,9846.69969432,836.771582857047
1,B,,261,1,Zürich,2019,Ueberbaut,2208.824186,195.834452266913
1,B,,261,1,Zürich,2019,Ueberbaut,2199.47275124,207.924184247742
1,S,,261,2,Zürich,2019,Sofort baureif,2602.129004285,208.980063656856
1,S,,261,2,Zürich,2019,Sofort baureif,1392.806143505,161.323752069706
1,S,,261,2,Zürich,2019,Sofort baureif,1143.0433644,180.84218099151
1,S,,261,2,Zürich,2019,Sofort baureif,330.015427245,71.7259174276883
1,S,,261,2,Zürich,2019,Sofort baureif,589.55427653,100.308369680246
1,TR,,261,11,Zürich,2019,Technischer Rest,69.847765995,84.2297830827679
1,B,,261,1,Zürich,2019,Ueberbaut,126240.509987295,2902.99609416981
1,TR,,261,11,Zürich,2019,Technischer Rest,49095.230333475,1274.91779549466
1,TR,,261,11,Zürich,2019,Technischer Rest,37414.731589685,2352.59234596938
1,B,,261,1,Zürich,2019,Ueberbaut,267126.20595206,3575.46350516522
1,TR,,261,11,Zürich,2019,Technischer Rest,1182293.74525217,9462.26200764509
1,TR,,261,11,Zürich,2019,Technischer Rest,1170.9893821,155.211985385733
1,B,,261,1,Zürich,2019,Ueberbaut,1316.27259702,162.217692631551
