ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,S,,261,2,Zürich,2019,Sofort baureif,10834.179653185,575.744416539051
1,TR,,261,11,Zürich,2019,Technischer Rest,31315.68809905,2313.6351234184
1,S,,261,2,Zürich,2019,Sofort baureif,392.994157875,144.611971536786
1,B,,261,1,Zürich,2019,Ueberbaut,24447.996808385,2503.91489277644
1,TR,,261,11,Zürich,2019,Technischer Rest,4520.82915285,400.409321984935
1,B,,261,1,Zürich,2019,Ueberbaut,266.36910129,81.9740297723419
1,TR,,261,11,Zürich,2019,Technischer Rest,2486.72201845,213.611280989261
1,TR,,261,11,Zürich,2019,Technischer Rest,10257.3726745,466.87736232575
1,TR,,261,11,Zürich,2019,Technischer Rest,17572.3056465,700.589884571042
1,5J,,261,3,Zürich,2019,Baureif in 5 Jahren,11723.7673779,533.075727809928
59,TR,,97,11,Rümlang,2019,Technischer Rest,2664.009593,348.382427504952
59,TR,,97,11,Rümlang,2019,Technischer Rest,4797.820978,476.355619539856
1,B,,261,1,Zürich,2019,Ueberbaut,133.655961705,64.6994170434545
1,5J,,261,3,Zürich,2019,Baureif in 5 Jahren,20596.54741765,891.008334851002
1,TR,,261,11,Zürich,2019,Technischer Rest,67677.872212,3596.46609384917
1,S,,261,2,Zürich,2019,Sofort baureif,1329.83694887,149.209490505135
58,TR,,66,11,Opfikon,2019,Technischer Rest,22159.04852883,1100.08550096643
