Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumCars
2013-11-06 07:00:00,2678657,1251037,261.0
2017-08-23 18:00:00,2678658,1251015,439.0
2014-09-12 15:00:00,2678658,1251036,409.0
2018-03-04 21:00:00,2678658,1251040,152.0
2015-08-05 15:00:00,2678658,1251041,284.0
2012-01-24 08:00:00,2678660,1251009,248.0
2017-05-17 07:00:00,2678660,1251040,282.0
2016-04-25 22:00:00,2678662,1251014,137.0
2018-02-13 11:00:00,2678663,1251124,309.0
2016-10-07 08:00:00,2678664,1251012,245.0
2013-06-11 14:00:00,2678664,1251030,365.0
2015-08-18 20:00:00,2678664,1251034,282.0
2016-12-01 10:00:00,2678665,1251009,307.0
2019-10-15 21:00:00,2678665,1251015,181.0
2017-03-18 14:00:00,2678665,1251033,362.0
2017-12-15 15:00:00,2678667,1251041,470.0
2016-08-19 21:00:00,2678668,1250859,195.0
2015-05-28 18:00:00,2678668,1251023,501.0
2016-08-19 07:00:00,2678668,1251105,239.0
2012-12-06 11:00:00,2678672,1251017,344.0
2013-07-29 18:00:00,2678674,1251198,393.0
2018-07-03 16:00:00,2678675,1251064,497.0
2020-12-23 09:00:00,2678676,1251004,272.0
2014-10-02 17:00:00,2678676,1251081,475.0
2020-02-13 18:00:00,2678676,1251088,419.0
2015-01-06 05:00:00,2678676,1251092,41.0
2018-05-19 10:00:00,2678677,1251065,330.0
2016-10-14 17:00:00,2678677,1251069,487.0
2017-04-21 13:00:00,2678677,1251073,307.0
2017-07-12 16:00:00,2678678,1251070,452.0
2018-05-24 19:00:00,2678679,1251075,321.0
2020-06-02 18:00:00,2678680,1251077,416.0
2018-10-11 08:00:00,2678681,1251099,188.0
2014-01-28 17:00:00,2678681,1251102,512.0
2014-08-05 18:00:00,2678682,1251014,371.0
2018-02-08 10:00:00,2678683,1251084,276.0
2012-07-17 19:00:00,2678684,1251197,407.0
2020-06-09 06:00:00,2678684,1251200,237.0
2015-05-20 19:00:00,2678685,1250955,332.0
2013-05-29 16:00:00,2678685,1251089,512.0
2018-03-06 11:00:00,2678685,1251094,328.0
2014-05-28 09:00:00,2678686,1251005,305.0
2016-03-22 06:00:00,2678686,1251092,203.0
2017-09-12 06:00:00,2678686,1251175,203.0
2019-04-27 15:00:00,2678687,1251191,319.0
2019-04-26 16:00:00,2678688,1251013,440.0
2017-04-16 21:00:00,2678688,1251194,154.0
2018-01-10 15:00:00,2678688,1252154,355.0
2017-10-04 17:00:00,2678689,1251012,472.0
2019-09-04 16:00:00,2678689,1251095,193.0
2017-05-15 09:00:00,2678690,1251132,239.0
2015-09-09 14:00:00,2678693,1251013,333.0
2017-02-05 12:00:00,2678693,1252193,195.0
2015-12-09 19:00:00,2678698,1251118,331.0
2013-03-14 09:00:00,2678698,1251181,354.0
2013-02-02 19:00:00,2678700,1251008,236.0
2016-09-20 07:00:00,2678702,1251005,280.0
2017-12-10 13:00:00,2678712,1250906,226.0
2014-01-20 07:00:00,2678712,1251002,286.0
2017-11-29 19:00:00,2678713,1250906,333.0
2018-07-18 18:00:00,2678716,1251142,432.0
2014-10-17 10:00:00,2678718,1247710,184.0
2016-09-18 16:00:00,2678719,1247470,163.0
2019-07-05 18:00:00,2678721,1251004,427.0
2017-07-05 17:00:00,2678723,1251003,501.0
2016-04-12 07:00:00,2678724,1251002,260.0
2017-01-16 12:00:00,2678725,1247473,22.0
2014-08-10 13:00:00,2678727,1247478,132.0
2020-03-17 15:00:00,2678734,1252184,289.0
2017-07-17 08:00:00,2678735,1251000,220.0
2014-02-06 18:00:00,2678737,1251004,446.0
2013-09-23 07:00:00,2678738,1250999,286.0
2018-12-13 10:00:00,2678740,1251007,328.0
2020-06-25 08:00:00,2678743,1250996,284.0
2012-07-07 18:00:00,2678757,1251002,383.0
2020-06-29 17:00:00,2678759,1247507,390.0
