Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-09-24 11:00:00,2679634,1249570,59.0,
2020-02-20 14:00:00,2679648,1248918,47.0,
2020-03-27 12:00:00,2679685,1248815,49.0,
2020-12-29 11:00:00,2679696,1248998,12.0,
2020-09-29 09:00:00,2679717,1250173,56.0,
2011-02-01 18:00:00,2679728,1250223,37.0,
2011-07-12 16:00:00,2679737,1250272,36.0,
2011-06-08 12:00:00,2679740,1250317,19.5,
2020-05-31 17:00:00,2679743,1250281,125.5,
2020-04-28 11:00:00,2679749,1250618,4.0,
2011-09-22 17:00:00,2679757,1250354,21.0,
2020-05-26 13:00:00,2679759,1250366,94.0,
2020-12-23 16:00:00,2679762,1250367,79.5,
2020-03-17 20:00:00,2679765,1250429,2.5,
2011-04-22 02:00:00,2679766,1250406,7.5,
2020-02-03 22:00:00,2679769,1250434,2.0,
2020-08-03 03:00:00,2679770,1250389,3.0,
2020-03-09 08:00:00,2679794,1248768,65.0,
2020-10-28 11:00:00,2679804,1250896,,33.0
2020-01-12 12:00:00,2679806,1249226,30.0,
2011-10-11 19:00:00,2679838,1250851,5.5,20.0
2011-01-19 08:00:00,2679843,1250397,35.0,
2020-10-24 07:00:00,2679867,1248932,2.5,
2020-02-15 12:00:00,2679887,1250395,16.5,
2020-10-29 18:00:00,2679901,1248716,15.0,
2020-02-28 11:00:00,2679908,1250806,56.0,
2020-02-28 10:00:00,2679932,1249048,24.0,
2020-11-20 11:00:00,2679933,1249043,7.0,
2020-05-02 12:00:00,2679933,1250681,60.0,
2020-12-09 18:00:00,2679952,1250671,,18.5
2020-10-24 18:00:00,2679954,1248953,14.5,
2011-10-06 06:00:00,2679963,1250798,3.0,4.0
2020-03-25 19:00:00,2679985,1248754,24.0,
2011-09-21 15:00:00,2679999,1250813,12.5,13.0
2011-09-28 07:00:00,2680006,1250681,17.5,10.5
2020-04-01 17:00:00,2680028,1249106,72.0,
2020-09-08 19:00:00,2680031,1250681,,60.0
2020-11-12 07:00:00,2680031,1250681,,30.5
2020-08-10 07:00:00,2680055,1250615,,33.5
2011-11-23 15:00:00,2680057,1250682,3.0,14.5
2011-12-14 09:00:00,2680059,1250644,0.5,6.0
2011-10-20 13:00:00,2680064,1250695,3.0,19.0
2020-11-20 08:00:00,2680065,1250670,,16.5
2011-10-19 11:00:00,2680065,1250710,3.0,13.5
2020-02-11 07:00:00,2680065,1250710,31.0,
2011-12-19 17:00:00,2680065,1250711,2.5,2.5
2020-04-23 23:00:00,2680067,1250675,11.0,
2020-07-18 18:00:00,2680070,1250716,,48.5
2020-09-12 16:00:00,2680070,1250717,,32.0
2020-06-12 23:00:00,2680073,1250683,54.5,
2020-10-03 10:00:00,2680080,1250672,,5.5
2011-11-14 19:00:00,2680083,1250659,2.5,2.0
2020-06-06 14:00:00,2680086,1250579,67.5,
2020-05-02 20:00:00,2680091,1250670,21.0,
2020-02-17 11:00:00,2680096,1250764,34.0,
2020-08-06 10:00:00,2680097,1250651,,27.0
2020-09-01 16:00:00,2680122,1250540,,27.0
2011-10-09 00:00:00,2680135,1250651,0.0,0.0
2020-07-08 08:00:00,2680142,1250928,,117.0
2020-08-03 14:00:00,2680144,1250660,,9.0
2020-02-11 13:00:00,2680155,1249715,3.0,
2020-08-26 08:00:00,2680155,1249716,117.0,
2020-02-28 10:00:00,2680166,1250637,31.0,
2020-03-04 08:00:00,2680174,1249716,35.0,
2020-07-21 09:00:00,2680176,1249719,21.5,
2020-09-08 19:00:00,2680186,1250769,,60.0
2020-10-18 00:00:00,2680194,1249754,10.5,
2020-10-02 12:00:00,2680200,1249765,73.0,
2011-12-21 23:00:00,2680216,1250397,0.5,
2011-10-19 19:00:00,2680218,1250591,0.5,1.5
2011-10-09 18:00:00,2680225,1250470,3.0,
2020-03-04 08:00:00,2680255,1249705,35.0,
2020-06-18 16:00:00,2680258,1250525,119.0,
2020-10-01 18:00:00,2680259,1249747,141.0,
2020-03-06 11:00:00,2680263,1252459,4.0,
2020-11-03 17:00:00,2680270,1252770,,23.5
2011-02-14 15:00:00,2680271,1252740,23.5,
2020-05-01 10:00:00,2680273,1250180,56.0,
